order_id,customer_name,country,city,product_name,category_name,product_price,quantity,order_date
ORD10001,Kelsey Boyle,Germany,Munich,Football,Sports,900,4,2025-07-09
ORD10002,Jason Santos,Germany,Berlin,Chair,Furniture,2500,4,2024-07-28
ORD10003,Robin Romero,UK,Birmingham,Python Book,Books,900,4,2025-01-10
ORD10003,Robin Romero,UK,Birmingham,Cricket Bat,Sports,2200,1,2025-01-10
ORD10003,Robin Romero,UK,Birmingham,Mouse,Electronics,700,1,2025-01-10
ORD10004,Lisa Mullins,UK,Leeds,SQL Book,Books,750,5,2024-12-17
ORD10005,Felicia Richardson,Canada,Vancouver,T-Shirt,Clothing,800,2,2026-05-10
ORD10006,Jordan Morgan,Canada,Montreal,Jeans,Clothing,1800,1,2025-05-06
ORD10007,Lynn Steele,USA,Austin,Python Book,Books,900,4,2024-09-09
ORD10008,Brad Johnson,UK,Manchester,Sofa,Furniture,25000,5,2025-11-10
ORD10008,Brad Johnson,UK,Manchester,Table,Furniture,6000,4,2025-11-10
ORD10008,Brad Johnson,UK,Manchester,Monitor,Electronics,12000,3,2025-11-10
ORD10009,Matthew Moore,India,Delhi,Jeans,Clothing,1800,5,2025-06-01
ORD10010,Angela Daniels,India,Ahmedabad,Jeans,Clothing,1800,1,2025-05-04
ORD10010,Angela Daniels,India,Ahmedabad,Python Book,Books,900,1,2025-05-04
ORD10010,Angela Daniels,India,Ahmedabad,Mouse,Electronics,700,4,2025-05-04
ORD10011,Alexis Garza,USA,Austin,Table,Furniture,6000,5,2024-10-17
ORD10012,Sean Boyd,UK,Manchester,T-Shirt,Clothing,800,4,2024-11-14
ORD10013,John Simpson,USA,Chicago,Sofa,Furniture,25000,5,2024-07-04
ORD10013,John Simpson,USA,Chicago,AI Handbook,Books,1200,5,2024-07-04
ORD10013,John Simpson,USA,Chicago,Jacket,Clothing,3500,4,2024-07-04
ORD10014,Christina Espinoza,Germany,Munich,Table,Furniture,6000,3,2025-11-20
ORD10014,Christina Espinoza,Germany,Munich,Cricket Bat,Sports,2200,3,2025-11-20
ORD10015,Casey Thompson,Germany,Hamburg,Keyboard,Electronics,1500,1,2024-11-28
ORD10015,Casey Thompson,Germany,Hamburg,Jacket,Clothing,3500,4,2024-11-28
ORD10015,Casey Thompson,Germany,Hamburg,Sofa,Furniture,25000,1,2024-11-28
ORD10016,Felicia Brown,UK,Manchester,Chair,Furniture,2500,1,2025-02-16
ORD10016,Felicia Brown,UK,Manchester,AI Handbook,Books,1200,2,2025-02-16
ORD10016,Felicia Brown,UK,Manchester,Sofa,Furniture,25000,4,2025-02-16
ORD10017,Jacob Mendez,India,Pune,SQL Book,Books,750,4,2025-03-31
ORD10017,Jacob Mendez,India,Pune,Keyboard,Electronics,1500,2,2025-03-31
ORD10017,Jacob Mendez,India,Pune,Tennis Racket,Sports,3500,2,2025-03-31
ORD10018,Brian Lewis,Germany,Berlin,Sofa,Furniture,25000,5,2024-07-31
ORD10019,Michael Davenport,India,Delhi,T-Shirt,Clothing,800,4,2024-11-11
ORD10020,Charles Little,USA,Seattle,Python Book,Books,900,4,2025-02-01
ORD10021,Bryan Patterson,UK,Birmingham,AI Handbook,Books,1200,5,2025-11-10
ORD10021,Bryan Patterson,UK,Birmingham,Python Book,Books,900,4,2025-11-10
ORD10022,Richard Weaver,Germany,Frankfurt,Tennis Racket,Sports,3500,2,2026-06-15
ORD10023,Shane Davis,USA,Boston,Tennis Racket,Sports,3500,1,2025-03-25
ORD10023,Shane Davis,USA,Boston,T-Shirt,Clothing,800,5,2025-03-25
ORD10023,Shane Davis,USA,Boston,Keyboard,Electronics,1500,1,2025-03-25
ORD10024,Anna Booker,Canada,Calgary,Jacket,Clothing,3500,2,2025-12-08
ORD10024,Anna Booker,Canada,Calgary,AI Handbook,Books,1200,3,2025-12-08
ORD10025,Jared Dawson,Germany,Frankfurt,Tennis Racket,Sports,3500,3,2024-07-30
ORD10026,Jimmy Weaver,USA,New York,SQL Book,Books,750,5,2025-11-29
ORD10027,Shaun Harris,India,Mumbai,Mouse,Electronics,700,2,2026-05-25
ORD10027,Shaun Harris,India,Mumbai,Laptop,Electronics,50000,1,2026-05-25
ORD10028,Stanley Drake,UK,Manchester,AI Handbook,Books,1200,5,2024-11-09
ORD10029,Mandy Carter,Germany,Munich,Football,Sports,900,4,2025-04-23
ORD10029,Mandy Carter,Germany,Munich,AI Handbook,Books,1200,5,2025-04-23
ORD10029,Mandy Carter,Germany,Munich,T-Shirt,Clothing,800,2,2025-04-23
ORD10030,Pamela Hanson,USA,Boston,Table,Furniture,6000,4,2024-07-27
ORD10030,Pamela Hanson,USA,Boston,AI Handbook,Books,1200,5,2024-07-27
ORD10031,Barry Le,Canada,Montreal,Monitor,Electronics,12000,4,2025-01-22
ORD10031,Barry Le,Canada,Montreal,T-Shirt,Clothing,800,1,2025-01-22
ORD10031,Barry Le,Canada,Montreal,Chair,Furniture,2500,5,2025-01-22
ORD10032,Tara Salazar,Germany,Berlin,Keyboard,Electronics,1500,2,2024-11-06
ORD10033,Kaitlin Smith,Germany,Frankfurt,Laptop,Electronics,50000,4,2026-05-26
ORD10034,Joseph Ortiz,India,Surat,Python Book,Books,900,5,2024-08-24
ORD10034,Joseph Ortiz,India,Surat,Jacket,Clothing,3500,2,2024-08-24
ORD10034,Joseph Ortiz,India,Surat,Monitor,Electronics,12000,1,2024-08-24
ORD10035,Samantha Duncan,Canada,Toronto,Jacket,Clothing,3500,4,2025-05-08
ORD10035,Samantha Duncan,Canada,Toronto,Keyboard,Electronics,1500,3,2025-05-08
ORD10036,Betty Kennedy,UK,Leeds,Sofa,Furniture,25000,1,2026-05-21
ORD10036,Betty Kennedy,UK,Leeds,Laptop,Electronics,50000,5,2026-05-21
ORD10037,John Cruz,India,Surat,Tennis Racket,Sports,3500,1,2026-05-05
ORD10038,Gabriela Rodriguez,Germany,Hamburg,Cricket Bat,Sports,2200,1,2025-05-08
